,bleu_1gram,bleu_2gram,bleu_3gram,bleu_4gram,METEOR,ROUGE_1gram,ROUGE_1gram_pre,ROUGE_1gram_recall,ROUGE_2gram,ROUGE_2gram_pre,ROUGE_2gram_recall,ROUGE_L,ROUGE_L_pre,ROUGE_L_recall,CIDEr,Spice
55,0.83875523,0.687019496,0.539527455,0.414416348,0.302064076,0.638822042,0.676217947,0.615165813,0.402405428,0.421240602,0.392415877,0.638822042,0.676217947,0.615165813,1.436226185,0.239142232
56,0.837425732,0.688508732,0.542910968,0.419519537,0.304142998,0.640008008,0.675864971,0.617380089,0.405753848,0.423762121,0.39609585,0.640008008,0.675864971,0.617380089,1.466519559,0.242127349
57,0.842328875,0.692269102,0.546434133,0.422436131,0.304337276,0.641401965,0.679917172,0.616863177,0.407093572,0.428195473,0.395327562,0.641401965,0.679917172,0.616863177,1.435667778,0.23999611
58,0.838900834,0.690493391,0.547288182,0.424875071,0.303687843,0.640276043,0.678561742,0.615795995,0.407610429,0.427610354,0.396176632,0.640276043,0.678561742,0.615795995,1.450701863,0.241248184
59,0.835746772,0.689615211,0.548060714,0.426625485,0.303182911,0.639312011,0.677566035,0.615141766,0.408698613,0.428622276,0.398085868,0.639312011,0.677566035,0.615141766,1.433735126,0.238613366
60,0.835997476,0.683895122,0.535690594,0.409786861,0.300973344,0.635763457,0.674828229,0.610621116,0.39948247,0.419433784,0.388368925,0.635763457,0.674828229,0.610621116,1.422422849,0.236573895
61,0.834710312,0.682358234,0.534283057,0.408321539,0.301300624,0.636455298,0.674673413,0.612603703,0.399974808,0.418827327,0.389800488,0.636455298,0.674673413,0.612603703,1.419105391,0.236742233
62,0.835942818,0.687395667,0.541105177,0.416682556,0.302622532,0.640607597,0.679012554,0.616759519,0.402667999,0.422953734,0.39156481,0.640607597,0.679012554,0.616759519,1.424762441,0.23868526
63,0.838895583,0.689949569,0.544451436,0.420156073,0.303305774,0.639908968,0.679913059,0.614383087,0.405875721,0.426253409,0.394263214,0.639908968,0.679913059,0.614383087,1.440431176,0.239508411
64,0.835617155,0.684415034,0.540117044,0.417753181,0.302944649,0.639004141,0.677556006,0.61465942,0.404422799,0.42421562,0.393614025,0.639004141,0.677556006,0.61465942,1.43189891,0.239029304
65,0.837541164,0.685160904,0.536561961,0.410383379,0.300062328,0.635846288,0.672904401,0.612252409,0.398114379,0.417264087,0.387772971,0.635846288,0.672904401,0.612252409,1.41799942,0.239577122
66,0.833760527,0.683536051,0.53919455,0.414835406,0.301200851,0.636801239,0.67412188,0.613220847,0.401551721,0.420984145,0.391141369,0.636801239,0.67412188,0.613220847,1.425394075,0.23815516
67,0.837465997,0.687034572,0.541400086,0.417369079,0.305231796,0.640513364,0.676583892,0.617672305,0.404530062,0.423909271,0.394350066,0.640513364,0.676583892,0.617672305,1.430557405,0.240795424
68,0.836052714,0.682445922,0.535428843,0.411702405,0.299930286,0.636761296,0.675262518,0.612032727,0.399372587,0.418681981,0.388770741,0.636761296,0.675262518,0.612032727,1.414177515,0.23856093
69,0.837537364,0.689398428,0.545722796,0.422280633,0.302877492,0.639849598,0.677814177,0.615413239,0.404896734,0.42460873,0.394198358,0.639849598,0.677814177,0.615413239,1.429174602,0.240409324
70,0.843375386,0.695873114,0.552143629,0.429341414,0.305852202,0.64570145,0.685311201,0.620116405,0.41120338,0.432613203,0.398824994,0.64570145,0.685311201,0.620116405,1.470340224,0.242276599
71,0.832582504,0.67912356,0.532094853,0.408517554,0.301527112,0.636904505,0.671874621,0.615132555,0.399548542,0.418391721,0.38941381,0.636904505,0.671874621,0.615132555,1.414168882,0.238262046
72,0.83733865,0.684071206,0.535741151,0.409330072,0.300403253,0.63795889,0.677208153,0.612749974,0.398541707,0.418269607,0.387402125,0.63795889,0.677208153,0.612749974,1.414443329,0.236465762
73,0.836748598,0.683512941,0.537296046,0.414648947,0.302211478,0.639793955,0.676296934,0.617050569,0.400052223,0.417827291,0.390752126,0.639793955,0.676296934,0.617050569,1.439936803,0.238711473
74,0.838589495,0.686359213,0.540218701,0.417238898,0.304776734,0.641275829,0.678906133,0.617324984,0.406693921,0.424885173,0.397158719,0.641275829,0.678906133,0.617324984,1.442978171,0.237970123
75,0.837123991,0.687434967,0.541661351,0.419199964,0.303673834,0.639501772,0.677242496,0.615563597,0.406279625,0.42554733,0.395596072,0.639501772,0.677242496,0.615563597,1.43328693,0.239063438
76,0.839367109,0.690250204,0.54300778,0.418987972,0.303471127,0.641999937,0.681833784,0.616597072,0.406086314,0.425396176,0.395594529,0.641999937,0.681833784,0.616597072,1.431510403,0.240251094
77,0.836780529,0.685048943,0.538329577,0.413185302,0.303340734,0.640038967,0.676251515,0.616864008,0.402120591,0.419982089,0.392587451,0.640038967,0.676251515,0.616864008,1.429355072,0.237978747
78,0.836479966,0.687594817,0.543121251,0.420572123,0.304622386,0.641123955,0.678502471,0.617134798,0.407055264,0.425999513,0.396598665,0.641123955,0.678502471,0.617134798,1.4348302,0.23940719
79,0.834476979,0.681919542,0.535483854,0.412061509,0.299575051,0.633708251,0.670817839,0.610356054,0.397605994,0.417246699,0.386978034,0.633708251,0.670817839,0.610356054,1.404066073,0.237487231
80,0.836313258,0.686996555,0.54162715,0.419223718,0.302108637,0.639086879,0.677463005,0.614792932,0.404020478,0.421791324,0.394811683,0.639086879,0.677463005,0.614792932,1.437956214,0.238575646
81,0.839733151,0.685614476,0.538130954,0.414394375,0.299928104,0.637519997,0.675147367,0.613675271,0.400432509,0.42025855,0.389509572,0.637519997,0.675147367,0.613675271,1.420779294,0.237118875
82,0.835514606,0.68484011,0.538920639,0.414124787,0.302050084,0.637558952,0.674550956,0.614005767,0.403349892,0.422017298,0.393427054,0.637558952,0.674550956,0.614005767,1.423738623,0.237432997
83,0.838210615,0.689125782,0.543180429,0.417312922,0.302358636,0.640695724,0.680744607,0.615057968,0.404077962,0.424480267,0.392765996,0.640695724,0.680744607,0.615057968,1.420632026,0.237682947
84,0.837434555,0.68663015,0.540738754,0.41615431,0.303911541,0.640713465,0.678426876,0.616646103,0.404338077,0.424095978,0.393416068,0.640713465,0.678426876,0.616646103,1.424974919,0.240048979
85,0.83752296,0.686749852,0.540626283,0.416405585,0.30232445,0.640203338,0.679064809,0.615574747,0.404506,0.42397895,0.393790525,0.640203338,0.679064809,0.615574747,1.44167455,0.238194126
86,0.838418138,0.692894098,0.54918401,0.42563104,0.304462111,0.64114606,0.675462464,0.6197241,0.409437147,0.428940512,0.398832893,0.64114606,0.675462464,0.6197241,1.467109577,0.241347827
87,0.836392239,0.684518696,0.538919042,0.415633706,0.300932981,0.636960635,0.675404636,0.612455758,0.40168056,0.42119017,0.390857758,0.636960635,0.675404636,0.612455758,1.422245643,0.238077213
88,0.832051081,0.680609114,0.534608746,0.412056955,0.300771432,0.636509013,0.674936688,0.61174849,0.399922368,0.419088654,0.389546502,0.636509013,0.674936688,0.61174849,1.417418319,0.238065896
89,0.835036955,0.683466052,0.537497779,0.411897,0.30144576,0.636989054,0.674908153,0.613035932,0.401497509,0.420863438,0.39105713,0.636989054,0.674908153,0.613035932,1.413625958,0.236890503
90,0.836743259,0.685788891,0.539966765,0.415465503,0.303081016,0.638561207,0.677449964,0.61389566,0.403778654,0.423560029,0.393101316,0.638561207,0.677449964,0.61389566,1.440090721,0.239391256
91,0.835638688,0.682422216,0.535375703,0.411786762,0.300130783,0.637779004,0.675160552,0.613442768,0.399684367,0.418929924,0.388868604,0.637779004,0.675160552,0.613442768,1.424939349,0.237021195
92,0.838847943,0.687086327,0.541070739,0.416517951,0.304458607,0.640409645,0.677126623,0.617459005,0.405851659,0.425186436,0.39537034,0.640409645,0.677126623,0.617459005,1.442289203,0.240861129
93,0.841469182,0.691428,0.545834038,0.420361421,0.304410649,0.643644303,0.683610119,0.617813759,0.405630816,0.426120905,0.39398215,0.643644303,0.683610119,0.617813759,1.442504898,0.238813342
94,0.835878063,0.68567319,0.538940529,0.41346293,0.302184621,0.637757475,0.676774838,0.613027595,0.402968894,0.423555051,0.391371029,0.637757475,0.676774838,0.613027595,1.42544414,0.238614063
95,0.84348327,0.693838968,0.54776008,0.421989007,0.305252017,0.644752129,0.684449856,0.619268502,0.408445795,0.428041522,0.397581693,0.644752129,0.684449856,0.619268502,1.449557538,0.243887885
96,0.8382707,0.690161997,0.543517668,0.419089365,0.304571211,0.640988271,0.678720509,0.616783045,0.405738833,0.424617893,0.395667039,0.640988271,0.678720509,0.616783045,1.444201265,0.240936572
97,0.836894325,0.689751349,0.546397947,0.423494167,0.30431823,0.641356975,0.677937302,0.61801551,0.409080862,0.42825873,0.398630633,0.641356975,0.677937302,0.61801551,1.437042331,0.238906731
98,0.837812303,0.687107678,0.540277507,0.413776764,0.300967726,0.637127726,0.674992532,0.61296127,0.401476079,0.421125505,0.390676177,0.637127726,0.674992532,0.61296127,1.415675406,0.235424161
99,0.835594908,0.686350197,0.54053334,0.417968976,0.303069866,0.639186842,0.677432359,0.615026396,0.407029324,0.426662807,0.396299137,0.639186842,0.677432359,0.615026396,1.441545977,0.237700566
